timestamp,price,size,side,exchange_timestamp
1756903692.2812076,209.35,0,bid,
1756903692.2812076,209.36,0,ask,
1756903693.281735,209.35,0,bid,
1756903693.281735,209.36,0,ask,
1756903694.2819648,209.33,0,bid,
1756903694.2819648,209.34,0,ask,
1756903695.2826438,209.38,0,bid,
1756903695.2826438,209.39,0,ask,
1756903696.3103306,209.37,0,bid,
1756903696.3103306,209.38,0,ask,
1756903697.2807117,209.4,0,bid,
1756903697.2807117,209.41,0,ask,
1756903698.2829108,209.43,0,bid,
1756903698.2829108,209.44,0,ask,
1756903699.284607,209.43,0,bid,
1756903699.284607,209.44,0,ask,
1756903740.1033285,209.27,0,bid,
1756903740.1033285,209.28,0,ask,
1756903741.1249058,209.24,0,bid,
1756903741.1249058,209.25,0,ask,
1756903742.1041186,209.22,0,bid,
1756903742.1041186,209.23,0,ask,
1756903744.1020257,209.23,0,bid,
1756903744.1020257,209.24,0,ask,
1756903745.109838,209.16,0,bid,
1756903745.109838,209.17,0,ask,
1756903746.1056545,209.18,0,bid,
1756903746.1056545,209.19,0,ask,
1756903747.104244,209.16,0,bid,
1756903747.104244,209.17,0,ask,
1756903752.1002984,209.1,0,bid,
1756903752.1002984,209.11,0,ask,
1756903754.1033013,209.13,0,bid,
1756903754.1033013,209.14,0,ask,
1756903755.103498,209.14,0,bid,
1756903755.103498,209.15,0,ask,
1756903756.1009896,209.15,0,bid,
1756903756.1009896,209.16,0,ask,
1756903758.106194,209.12,0,bid,
1756903758.106194,209.13,0,ask,
1756903761.0994706,209.08,0,bid,
1756903761.0994706,209.09,0,ask,
1756903762.105234,209.1,0,bid,
1756903762.105234,209.11,0,ask,
1756903763.1047661,209.16,0,bid,
1756903763.1047661,209.17,0,ask,
1756903764.1074426,209.22,0,bid,
1756903764.1074426,209.23,0,ask,
1756903765.1038847,209.16,0,bid,
1756903765.1038847,209.17,0,ask,
1756903766.1034544,209.19,0,bid,
1756903766.1034544,209.2,0,ask,
1756903768.1043682,209.2,0,bid,
1756903768.1043682,209.21,0,ask,
1756903770.096271,209.19,0,bid,
1756903770.096271,209.2,0,ask,
1756903771.1057622,209.17,0,bid,
1756903771.1057622,209.18,0,ask,
1756903772.099879,209.16,0,bid,
1756903772.099879,209.17,0,ask,
1756903773.102257,209.13,0,bid,
